year,Units,value,chemistry,scenario,model,market_share
2000,GWh,0.0,NMC,HIST,HIST,
2001,GWh,0.0,NMC,HIST,HIST,
2002,GWh,0.0,NMC,HIST,HIST,
2003,GWh,0.0,NMC,HIST,HIST,
2004,GWh,0.0,NMC,HIST,HIST,
2005,GWh,0.0,NMC,HIST,HIST,
2006,GWh,0.0,NMC,HIST,HIST,
2007,GWh,2.0,NMC,HIST,HIST,
2008,GWh,4.0,NMC,HIST,HIST,
2009,GWh,6.0,NMC,HIST,HIST,
2010,GWh,11.0,NMC,HIST,HIST,
2011,GWh,16.0,NMC,HIST,HIST,
2012,GWh,26.0,NMC,HIST,HIST,
2013,GWh,41.0,NMC,HIST,HIST,
2014,GWh,61.0,NMC,HIST,HIST,
2015,GWh,96.0,NMC,HIST,HIST,
2016,GWh,141.0,NMC,HIST,HIST,
2017,GWh,211.0,NMC,HIST,HIST,
2018,GWh,311.0,NMC,HIST,HIST,
2019,GWh,441.0,NMC,HIST,HIST,
2000,GWh,0.0,LFP,HIST,HIST,
2001,GWh,0.0,LFP,HIST,HIST,
2002,GWh,0.0,LFP,HIST,HIST,
2003,GWh,0.0,LFP,HIST,HIST,
2004,GWh,0.0,LFP,HIST,HIST,
2005,GWh,0.0,LFP,HIST,HIST,
2006,GWh,0.0,LFP,HIST,HIST,
2007,GWh,0.0,LFP,HIST,HIST,
2008,GWh,0.0,LFP,HIST,HIST,
2009,GWh,0.0,LFP,HIST,HIST,
2010,GWh,0.0,LFP,HIST,HIST,
2011,GWh,0.0,LFP,HIST,HIST,
2012,GWh,0.0,LFP,HIST,HIST,
2013,GWh,0.0,LFP,HIST,HIST,
2014,GWh,0.0,LFP,HIST,HIST,
2015,GWh,0.0,LFP,HIST,HIST,
2016,GWh,0.0,LFP,HIST,HIST,
2017,GWh,0.0,LFP,HIST,HIST,
2018,GWh,0.0,LFP,HIST,HIST,
2019,GWh,0.0,LFP,HIST,HIST,
2019,GWh,441.0,NMC,High,GCAM,AllNMC
2020,GWh,623.0127375279997,NMC,High,GCAM,AllNMC
2025,GWh,76988.36655972856,NMC,High,GCAM,AllNMC
2030,GWh,217874.76597334276,NMC,High,GCAM,AllNMC
2035,GWh,368830.09030914155,NMC,High,GCAM,AllNMC
2040,GWh,534498.941199449,NMC,High,GCAM,AllNMC
2045,GWh,715380.652511724,NMC,High,GCAM,AllNMC
2050,GWh,917506.318243374,NMC,High,GCAM,AllNMC
2055,GWh,1125165.813600174,NMC,High,GCAM,AllNMC
2060,GWh,1335459.5213360728,NMC,High,GCAM,AllNMC
2065,GWh,1546838.4816183727,NMC,High,GCAM,AllNMC
2070,GWh,1754875.3742726727,NMC,High,GCAM,AllNMC
2075,GWh,1958200.9335503727,NMC,High,GCAM,AllNMC
2080,GWh,2155703.960309473,NMC,High,GCAM,AllNMC
2085,GWh,2346710.759919923,NMC,High,GCAM,AllNMC
2090,GWh,2531200.620637973,NMC,High,GCAM,AllNMC
2095,GWh,2709159.6080264216,NMC,High,GCAM,AllNMC
2100,GWh,2880818.2960029216,NMC,High,GCAM,AllNMC
2019,GWh,441.0,NMC,Low,GCAM,AllNMC
2020,GWh,623.0127375279997,NMC,Low,GCAM,AllNMC
2025,GWh,19105.64169846836,NMC,Low,GCAM,AllNMC
2030,GWh,111133.53901912142,NMC,Low,GCAM,AllNMC
2035,GWh,255410.11127966119,NMC,Low,GCAM,AllNMC
2040,GWh,421100.77346672764,NMC,Low,GCAM,AllNMC
2045,GWh,601972.8074631375,NMC,Low,GCAM,AllNMC
2050,GWh,804057.4618207376,NMC,Low,GCAM,AllNMC
2055,GWh,1011704.1043051375,NMC,Low,GCAM,AllNMC
2060,GWh,1222014.2262417364,NMC,Low,GCAM,AllNMC
2065,GWh,1433412.8649626365,NMC,Low,GCAM,AllNMC
2070,GWh,1641468.9330125365,NMC,Low,GCAM,AllNMC
2075,GWh,1844812.8294656365,NMC,Low,GCAM,AllNMC
2080,GWh,2042344.5968516364,NMC,Low,GCAM,AllNMC
2085,GWh,2233380.9378491356,NMC,Low,GCAM,AllNMC
2090,GWh,2417892.516640736,NMC,Low,GCAM,AllNMC
2095,GWh,2595877.337181735,NMC,Low,GCAM,AllNMC
2100,GWh,2767559.5348812346,NMC,Low,GCAM,AllNMC
2019,GWh,441.0,NMC,Mid,GCAM,AllNMC
2020,GWh,623.0127375279997,NMC,Mid,GCAM,AllNMC
2025,GWh,33428.79814661511,NMC,Mid,GCAM,AllNMC
2030,GWh,160876.39318859385,NMC,Mid,GCAM,AllNMC
2035,GWh,311895.5087681508,NMC,Mid,GCAM,AllNMC
2040,GWh,477562.56599296577,NMC,Mid,GCAM,AllNMC
2045,GWh,658438.6721012709,NMC,Mid,GCAM,AllNMC
2050,GWh,860539.2741046709,NMC,Mid,GCAM,AllNMC
2055,GWh,1068199.6755671708,NMC,Mid,GCAM,AllNMC
2060,GWh,1278501.7360072208,NMC,Mid,GCAM,AllNMC
2065,GWh,1489891.0975192208,NMC,Mid,GCAM,AllNMC
2070,GWh,1697939.34522627,NMC,Mid,GCAM,AllNMC
2075,GWh,1901274.6133585698,NMC,Mid,GCAM,AllNMC
2080,GWh,2098792.5648224195,NMC,Mid,GCAM,AllNMC
2085,GWh,2289812.4436283694,NMC,Mid,GCAM,AllNMC
2090,GWh,2474313.5252241194,NMC,Mid,GCAM,AllNMC
2095,GWh,2652284.9659032193,NMC,Mid,GCAM,AllNMC
2100,GWh,2823955.013079868,NMC,Mid,GCAM,AllNMC
2019,GWh,0.0,LFP,High,GCAM,AllNMC
2020,GWh,0.0,LFP,High,GCAM,AllNMC
2025,GWh,0.0,LFP,High,GCAM,AllNMC
2030,GWh,0.0,LFP,High,GCAM,AllNMC
2035,GWh,0.0,LFP,High,GCAM,AllNMC
2040,GWh,0.0,LFP,High,GCAM,AllNMC
2045,GWh,0.0,LFP,High,GCAM,AllNMC
2050,GWh,0.0,LFP,High,GCAM,AllNMC
2055,GWh,0.0,LFP,High,GCAM,AllNMC
2060,GWh,0.0,LFP,High,GCAM,AllNMC
2065,GWh,0.0,LFP,High,GCAM,AllNMC
2070,GWh,0.0,LFP,High,GCAM,AllNMC
2075,GWh,0.0,LFP,High,GCAM,AllNMC
2080,GWh,0.0,LFP,High,GCAM,AllNMC
2085,GWh,0.0,LFP,High,GCAM,AllNMC
2090,GWh,0.0,LFP,High,GCAM,AllNMC
2095,GWh,0.0,LFP,High,GCAM,AllNMC
2100,GWh,0.0,LFP,High,GCAM,AllNMC
2019,GWh,0.0,LFP,Low,GCAM,AllNMC
2020,GWh,0.0,LFP,Low,GCAM,AllNMC
2025,GWh,0.0,LFP,Low,GCAM,AllNMC
2030,GWh,0.0,LFP,Low,GCAM,AllNMC
2035,GWh,0.0,LFP,Low,GCAM,AllNMC
2040,GWh,0.0,LFP,Low,GCAM,AllNMC
2045,GWh,0.0,LFP,Low,GCAM,AllNMC
2050,GWh,0.0,LFP,Low,GCAM,AllNMC
2055,GWh,0.0,LFP,Low,GCAM,AllNMC
2060,GWh,0.0,LFP,Low,GCAM,AllNMC
2065,GWh,0.0,LFP,Low,GCAM,AllNMC
2070,GWh,0.0,LFP,Low,GCAM,AllNMC
2075,GWh,0.0,LFP,Low,GCAM,AllNMC
2080,GWh,0.0,LFP,Low,GCAM,AllNMC
2085,GWh,0.0,LFP,Low,GCAM,AllNMC
2090,GWh,0.0,LFP,Low,GCAM,AllNMC
2095,GWh,0.0,LFP,Low,GCAM,AllNMC
2100,GWh,0.0,LFP,Low,GCAM,AllNMC
2019,GWh,0.0,LFP,Mid,GCAM,AllNMC
2020,GWh,0.0,LFP,Mid,GCAM,AllNMC
2025,GWh,0.0,LFP,Mid,GCAM,AllNMC
2030,GWh,0.0,LFP,Mid,GCAM,AllNMC
2035,GWh,0.0,LFP,Mid,GCAM,AllNMC
2040,GWh,0.0,LFP,Mid,GCAM,AllNMC
2045,GWh,0.0,LFP,Mid,GCAM,AllNMC
2050,GWh,0.0,LFP,Mid,GCAM,AllNMC
2055,GWh,0.0,LFP,Mid,GCAM,AllNMC
2060,GWh,0.0,LFP,Mid,GCAM,AllNMC
2065,GWh,0.0,LFP,Mid,GCAM,AllNMC
2070,GWh,0.0,LFP,Mid,GCAM,AllNMC
2075,GWh,0.0,LFP,Mid,GCAM,AllNMC
2080,GWh,0.0,LFP,Mid,GCAM,AllNMC
2085,GWh,0.0,LFP,Mid,GCAM,AllNMC
2090,GWh,0.0,LFP,Mid,GCAM,AllNMC
2095,GWh,0.0,LFP,Mid,GCAM,AllNMC
2100,GWh,0.0,LFP,Mid,GCAM,AllNMC
