year,Units,value,mineral,scenario
2000,€/kg,4.9,Li2CO3,HIST
2001,€/kg,4.9,Li2CO3,HIST
2002,€/kg,1.5,Li2CO3,HIST
2003,€/kg,1.35,Li2CO3,HIST
2004,€/kg,1.25,Li2CO3,HIST
2005,€/kg,1.35,Li2CO3,HIST
2006,€/kg,1.1,Li2CO3,HIST
2007,€/kg,1.7,Li2CO3,HIST
2008,€/kg,2.5,Li2CO3,HIST
2009,€/kg,3.2,Li2CO3,HIST
2010,€/kg,3.5,Li2CO3,HIST
2011,€/kg,3.8,Li2CO3,HIST
2012,€/kg,4.6,Li2CO3,HIST
2013,€/kg,5.2,Li2CO3,HIST
2014,€/kg,5.0,Li2CO3,HIST
2015,€/kg,2.9,Li2CO3,HIST
2016,€/kg,7.95,Li2CO3,HIST
2017,€/kg,13.3,Li2CO3,HIST
2018,€/kg,14.5,Li2CO3,HIST
2019,€/kg,11.35,Li2CO3,HIST
2020,€/kg,7.1,Li2CO3,HIST
2025,€/kg,62.43568208579449,Li2CO3,Mid
2030,€/kg,195.81236375491096,Li2CO3,Mid
2035,€/kg,225.87461735948443,Li2CO3,Mid
2040,€/kg,251.7982453731459,Li2CO3,Mid
2045,€/kg,265.08791282557735,Li2CO3,Mid
2050,€/kg,291.9199012936519,Li2CO3,Mid
2055,€/kg,303.760037162742,Li2CO3,Mid
2060,€/kg,308.38129334767126,Li2CO3,Mid
2065,€/kg,313.0166629273751,Li2CO3,Mid
2070,€/kg,313.32495476693333,Li2CO3,Mid
2075,€/kg,311.4929786268921,Li2CO3,Mid
2080,€/kg,307.76345117928787,Li2CO3,Mid
2085,€/kg,302.39030807953566,Li2CO3,Mid
2090,€/kg,296.55533574578203,Li2CO3,Mid
2095,€/kg,290.51581677368006,Li2CO3,Mid
2100,€/kg,284.9851572615376,Li2CO3,Mid
2025,€/kg,116.83597211868138,Li2CO3,High
2030,€/kg,212.16640935486905,Li2CO3,High
2035,€/kg,225.70159469807652,Li2CO3,High
2040,€/kg,251.8168324546663,Li2CO3,High
2045,€/kg,265.1028844669822,Li2CO3,High
2050,€/kg,291.98273296179076,Li2CO3,High
2055,€/kg,303.7472673038231,Li2CO3,High
2060,€/kg,308.35996638898706,Li2CO3,High
2065,€/kg,313.00235575568087,Li2CO3,High
2070,€/kg,313.3033005331387,Li2CO3,High
2075,€/kg,311.4733789958895,Li2CO3,High
2080,€/kg,307.73110774974515,Li2CO3,High
2085,€/kg,302.3630300791688,Li2CO3,High
2090,€/kg,296.53159602152095,Li2CO3,High
2095,€/kg,290.48795417825596,Li2CO3,High
2100,€/kg,284.95874331159786,Li2CO3,High
2025,€/kg,42.12941465743033,Li2CO3,Low
2030,€/kg,151.92051906541099,Li2CO3,Low
2035,€/kg,217.68141073975133,Li2CO3,Low
2040,€/kg,251.85025264539928,Li2CO3,Low
2045,€/kg,265.0622744989431,Li2CO3,Low
2050,€/kg,291.8793499870846,Li2CO3,Low
2055,€/kg,303.7294859390875,Li2CO3,Low
2060,€/kg,308.41064925133423,Li2CO3,Low
2065,€/kg,313.0311590564428,Li2CO3,Low
2070,€/kg,313.33722112422106,Li2CO3,Low
2075,€/kg,311.51052320953886,Li2CO3,Low
2080,€/kg,307.7926673250273,Li2CO3,Low
2085,€/kg,302.4259904239882,Li2CO3,Low
2090,€/kg,296.57703378382223,Li2CO3,Low
2095,€/kg,290.5454309178997,Li2CO3,Low
2100,€/kg,285.01311094796233,Li2CO3,Low
