scenario,region,subsector,Units,year,value,model
HIST,Global,Car,million vehicles,2000,0.0,HIST
HIST,Global,Mini Car,million vehicles,2000,0.0,HIST
HIST,Global,Light truck,million vehicles,2000,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2000,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2000,0.0,HIST
HIST,Global,Bus,million vehicles,2000,0.0,HIST
HIST,Global,Medium truck,million vehicles,2000,0.0,HIST
HIST,Global,Light truck,million vehicles,2001,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2001,0.0,HIST
HIST,Global,Mini Car,million vehicles,2001,0.0,HIST
HIST,Global,Bus,million vehicles,2001,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2001,0.0,HIST
HIST,Global,Car,million vehicles,2001,0.0,HIST
HIST,Global,Medium truck,million vehicles,2001,0.0,HIST
HIST,Global,Medium truck,million vehicles,2002,0.0,HIST
HIST,Global,Bus,million vehicles,2002,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2002,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2002,0.0,HIST
HIST,Global,Car,million vehicles,2002,0.0,HIST
HIST,Global,Light truck,million vehicles,2002,0.0,HIST
HIST,Global,Mini Car,million vehicles,2002,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2003,0.0,HIST
HIST,Global,Mini Car,million vehicles,2003,0.0,HIST
HIST,Global,Light truck,million vehicles,2003,0.0,HIST
HIST,Global,Bus,million vehicles,2003,0.0,HIST
HIST,Global,Medium truck,million vehicles,2003,0.0,HIST
HIST,Global,Car,million vehicles,2003,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2003,0.0,HIST
HIST,Global,Mini Car,million vehicles,2004,0.0,HIST
HIST,Global,Light truck,million vehicles,2004,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2004,0.0,HIST
HIST,Global,Bus,million vehicles,2004,0.0,HIST
HIST,Global,Medium truck,million vehicles,2004,0.0,HIST
HIST,Global,Car,million vehicles,2004,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2004,0.0,HIST
HIST,Global,Light truck,million vehicles,2005,0.0,HIST
HIST,Global,Bus,million vehicles,2005,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2005,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2005,0.0,HIST
HIST,Global,Mini Car,million vehicles,2005,0.0,HIST
HIST,Global,Car,million vehicles,2005,0.0,HIST
HIST,Global,Mini Car,million vehicles,2006,0.0,HIST
HIST,Global,Bus,million vehicles,2006,0.0,HIST
HIST,Global,Light truck,million vehicles,2006,0.0,HIST
HIST,Global,Car,million vehicles,2006,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2006,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2006,0.0,HIST
HIST,Global,Medium truck,million vehicles,2006,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2007,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2007,0.0,HIST
HIST,Global,Medium truck,million vehicles,2007,0.0,HIST
HIST,Global,Bus,million vehicles,2007,0.0,HIST
HIST,Global,Mini Car,million vehicles,2007,0.0,HIST
HIST,Global,Light truck,million vehicles,2007,0.0,HIST
HIST,Global,Car,million vehicles,2007,0.0,HIST
HIST,Global,Light truck,million vehicles,2008,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2008,0.0,HIST
HIST,Global,Bus,million vehicles,2008,0.0,HIST
HIST,Global,Mini Car,million vehicles,2008,0.0,HIST
HIST,Global,Medium truck,million vehicles,2008,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2008,0.0,HIST
HIST,Global,Car,million vehicles,2008,0.0,HIST
HIST,Global,Car,million vehicles,2009,0.0,HIST
HIST,Global,Medium truck,million vehicles,2009,0.0,HIST
HIST,Global,Light truck,million vehicles,2009,0.0,HIST
HIST,Global,Large Car and Truck,million vehicles,2009,0.0,HIST
HIST,Global,Bus,million vehicles,2009,0.0,HIST
HIST,Global,Mini Car,million vehicles,2009,0.0,HIST
HIST,Global,Heavy truck,million vehicles,2009,0.0,HIST
HIST,Global,Medium truck,million vehicles,2010,0.0,HIST
HIST,Global,Mini Car,million vehicles,2010,0.0,HIST
